side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,tp2,tp1_oz,tp1_filled,partial_pnl_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
1,2017-01-05 07:00:00,2017-01-05 07:05:00,1178.609,1174.2832785714286,1187.2604428571426,0.11,0.11,0.4758293571428476,0.0,0.0176,0.010999999999989995,1195.9118857142853,0.05,False,0.0,0.0,0,2017-01-05 08:35:00,1174.1832785714287,sl,False,-0.4868293571428376,-1.0231175311797496
1,2017-01-17 11:15:00,2017-01-17 11:35:00,1217.239,1214.0837142857144,1223.5495714285712,0.15,0.15,0.4732928571428374,0.0,0.024,0.014999999999986358,1229.8601428571424,0.07,False,0.0,0.0,0,2017-01-17 12:00:00,1213.9837142857145,sl,False,-0.4882928571428238,-1.0316928509982972
1,2017-01-17 13:45:00,2017-01-17 13:50:00,1214.711,1211.2236714285716,1218.6306714285715,0.14,0.14,0.48822599999997696,0.0,0.022400000000000003,0.01399999999998727,1222.550342857143,0.07,False,0.0,-0.07546000000000001,1,2017-01-18 05:45:00,1211.1236714285717,sl,False,-0.5776859999999642,-1.1832348133855868
1,2017-02-06 11:40:00,2017-02-06 11:45:00,1226.601,1226.601,1235.384542857143,0.11,0.11,0.4830948571428621,0.0,0.0176,0.0012,1244.168085714286,0.05,True,0.4391771428571474,-0.03234,1,2017-02-07 14:30:00,1231.159,news_close,False,0.6803171428571468,1.408247537307071
1,2017-02-24 07:20:00,2017-02-24 07:40:00,1253.439,1249.3635142857142,1261.5899714285717,0.12,0.12,0.48905828571429993,0.0,0.0192,0.0024,1269.7409428571434,0.06,False,0.0,0.0,0,2017-02-24 14:30:00,1257.188,news_close,False,0.44988000000000283,0.91989035487442
-1,2017-09-05 08:20:00,2017-09-05 08:25:00,1330.469,1336.0080142857141,1323.8310142857142,0.08,0.08,0.44312114285712595,0.0,0.0128,0.007999999999992725,1317.1930285714284,0.04,False,0.0,0.0,0,2017-09-05 14:00:00,1336.108014285714,sl,False,-0.4511211428571187,-1.0180537537622576
-1,2017-09-08 13:45:00,2017-09-08 13:50:00,1346.722,1346.722,1342.5113857142856,0.14,0.14,0.469054000000001,0.0,0.022400000000000003,0.0,1338.3007714285711,0.07,True,0.29474300000000997,0.0,1,2017-09-10 22:00:00,1338.3007714285711,tp2,False,0.8842290000000299,1.8851326286526242
-1,2019-06-21 12:30:00,2019-06-21 12:35:00,1394.298,1398.0291428571427,1386.8357142857146,0.13,0.13,0.4850485714285492,0.0,0.020800000000000003,0.012999999999988177,1379.3734285714293,0.06,False,0.0,0.0,0,2019-06-21 12:55:00,1398.1291428571426,sl,False,-0.49804857142853737,-1.0268014396201621
-1,2019-07-19 12:40:00,2019-07-19 12:45:00,1435.055,1438.8037785714284,1428.0407785714285,0.13,0.13,0.4873412142856887,0.0,0.020800000000000003,0.012999999999988177,1421.026557142857,0.06,False,0.0,0.0,0,2019-07-19 13:35:00,1438.9037785714283,sl,False,-0.5003412142856769,-1.0266753552109125
1,2019-08-05 13:05:00,2019-08-05 13:10:00,1463.565,1457.5622714285714,1475.5704571428573,0.08,0.08,0.4802182857142907,0.0,0.0128,0.0016,1487.5759142857146,0.04,False,0.0,0.0,0,2019-08-05 13:15:00,1462.775,news_close,False,-0.06319999999999709,-0.13160681689992618
