side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,tp2,tp1_oz,tp1_filled,partial_pnl_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
1,2017-01-05 07:00:00,2017-01-05 07:05:00,1178.609,1174.2832785714286,1187.2604428571426,0.11,0.11,0.4758293571428476,0.0,0.0176,0.010999999999989995,1195.9118857142853,0.05,False,0.0,0.0,0,2017-01-05 08:35:00,1174.1832785714287,sl,False,-0.4868293571428376,-1.0231175311797496
1,2017-01-17 11:15:00,2017-01-17 11:35:00,1217.239,1214.0837142857144,1223.5495714285712,0.15,0.15,0.4732928571428374,0.0,0.024,0.014999999999986358,1229.8601428571424,0.07,False,0.0,0.0,0,2017-01-17 12:00:00,1213.9837142857145,sl,False,-0.4882928571428238,-1.0316928509982972
1,2017-01-17 13:45:00,2017-01-17 13:50:00,1214.711,1211.2236714285716,1221.6856571428568,0.14,0.14,0.48822599999997696,0.0,0.022400000000000003,0.01399999999998727,1228.6603142857136,0.07,False,0.0,-0.07546000000000001,1,2017-01-18 05:45:00,1211.1236714285717,sl,False,-0.5776859999999642,-1.1832348133855868
-1,2017-01-26 15:30:00,2017-01-26 15:55:00,1186.991,1191.545957142857,1181.1589571428572,0.1,0.1,0.455495714285712,0.0,0.016,0.002,1175.3269142857143,0.05,False,0.0,0.0,1,2017-01-27 13:00:00,1182.462,news_close,False,0.45289999999999964,0.9943013420229807
1,2017-02-06 11:40:00,2017-02-06 11:45:00,1226.601,1222.2092285714286,1235.384542857143,0.11,0.11,0.4830948571428621,0.0,0.0176,0.0012,1244.168085714286,0.05,True,0.4391771428571474,-0.03234,1,2017-02-07 14:30:00,1231.159,news_close,False,0.6803171428571468,1.408247537307071
1,2017-02-24 07:20:00,2017-02-24 07:40:00,1253.439,1249.3635142857142,1261.5899714285717,0.12,0.12,0.48905828571429993,0.0,0.0192,0.0024,1269.7409428571434,0.06,False,0.0,0.0,0,2017-02-24 14:30:00,1257.188,news_close,False,0.44988000000000283,0.91989035487442
-1,2017-06-07 15:50:00,2017-06-07 16:25:00,1290.392,1293.8691928571427,1285.7471928571426,0.14,0.14,0.4868069999999716,0.0,0.022400000000000003,0.0014000000000000002,1281.1023857142852,0.07,True,0.3251365000000192,0.0,1,2017-06-08 12:00:00,1283.428,news_close,False,0.8126165000000152,1.6692785847369955
-1,2017-09-05 08:20:00,2017-09-05 08:25:00,1330.469,1336.0080142857141,1319.390971428572,0.09,0.09,0.49851128571426667,0.0,0.0144,0.008999999999991815,1308.3129428571438,0.04,False,0.0,0.0,0,2017-09-05 14:00:00,1336.108014285714,sl,False,-0.5075112857142585,-1.0180537537622576
1,2017-09-08 10:50:00,2017-09-08 11:00:00,1354.692,1350.7337714285713,1362.6084571428573,0.12,0.12,0.4749874285714395,0.0,0.0192,0.011999999999989085,1370.5249142857147,0.06,False,0.0,0.0,0,2017-09-08 12:25:00,1350.6337714285714,sl,False,-0.48698742857142857,-1.0252638265313252
1,2017-09-08 15:40:00,2017-09-08 15:45:00,1346.952,1342.5665428571428,1355.7229142857143,0.11,0.11,0.4824002857142864,0.0,0.0176,0.747509714285693,1364.4938285714286,0.05,False,0.0,-0.05929,1,2017-09-10 22:00:00,1335.7710000000002,sl_gap,False,-1.2891999999999795,-2.6724693955996957
